time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),rain (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°),soil_temperature_0_to_7cm (°C)
2020-01-01T00:00,18,96,17.3,920.2,0,100,10.1,107,20.3
2020-01-01T01:00,18.1,95,17.3,920.9,0,100,10.4,110,20.2
2020-01-01T02:00,18.2,94,17.3,921.6,0,100,13,109,20.3
2020-01-01T03:00,19.7,83,16.7,922.9,0,100,15.5,112,21.1
2020-01-01T04:00,21.5,73,16.6,923.2,0,100,15.6,113,22.3
2020-01-01T05:00,23,67,16.5,923.6,0,91,15.1,115,23.8
2020-01-01T06:00,24.3,62,16.4,924,0.2,71,13.8,118,25.4
2020-01-01T07:00,24.8,60,16.5,923,0.2,76,12.9,120,26.5
2020-01-01T08:00,25.1,62,17.4,922,0.3,72,12.7,119,27.4
2020-01-01T09:00,25.4,64,18,921.4,0,53,12.6,121,27.8
2020-01-01T10:00,25.5,64,18.1,920.4,0,64,11.3,121,27.6
2020-01-01T11:00,24.9,65,17.8,920.4,0.3,23,10.3,119,26.9
2020-01-01T12:00,24,69,18,920.9,0,32,7.4,119,25.8
2020-01-01T13:00,22.5,76,18,921.6,0,23,7.4,119,24.4
2020-01-01T14:00,21.5,80,18,922.1,0,23,9.5,115,23.4
2020-01-01T15:00,20.9,84,18.1,922.7,0,20,10.8,111,22.7
2020-01-01T16:00,20.5,87,18.2,923.2,0,17,10.6,108,22.3
2020-01-01T17:00,19.9,91,18.3,923.3,0,17,10.6,108,21.8
2020-01-01T18:00,19.3,95,18.4,923,0,69,10.1,107,21.4
2020-01-01T19:00,19,96,18.3,922.9,0,76,10.6,108,21.2
2020-01-01T20:00,19,96,18.3,922.1,0,87,10.6,108,21.1
2020-01-01T21:00,19.1,95,18.2,921.5,0,91,10,111,21.1
2020-01-01T22:00,19,95,18.1,921,0,89,10.3,115,21
2020-01-01T23:00,19.1,93,18,920.8,0,83,10.8,116,20.9
2020-01-02T00:00,19,93,17.9,921.5,0,70,9.8,114,20.8
2020-01-02T01:00,19.1,93,17.9,922.3,0,46,10.2,113,20.7
2020-01-02T02:00,19.2,92,17.9,923.5,0,43,10.6,114,20.7
2020-01-02T03:00,20.4,83,17.5,924,0,41,12.9,120,21.6
2020-01-02T04:00,22.3,72,17,924.4,0,88,12.5,129,23.1
2020-01-02T05:00,23.9,64,16.8,924.6,0,88,11.5,139,24.6
2020-01-02T06:00,24.6,61,16.7,924.9,0.1,46,10.6,145,25.8
2020-01-02T07:00,25,60,16.8,923.8,0.2,50,9.7,149,26.9
2020-01-02T08:00,25.6,58,16.6,923.2,0.2,57,9.3,152,27.6
2020-01-02T09:00,25.5,59,16.9,922.2,0.2,70,9.8,152,27.8
2020-01-02T10:00,25.5,60,17.1,921.3,0,53,9.7,158,27.5
2020-01-02T11:00,25.3,62,17.4,921.5,0,37,9.2,154,26.9
2020-01-02T12:00,24,69,17.9,921.9,0.1,63,5.7,145,25.9
2020-01-02T13:00,23.1,74,18.2,922.3,0,29,5.7,125,24.7
2020-01-02T14:00,22,80,18.4,923,0,35,7.1,120,23.7
2020-01-02T15:00,21.3,84,18.5,923.1,0,47,9.6,124,23
2020-01-02T16:00,20.6,88,18.6,923.8,0,59,10.9,124,22.4
2020-01-02T17:00,20.1,92,18.8,923.6,0,52,11.5,122,22
2020-01-02T18:00,19.7,95,18.8,923.3,0,48,10.5,121,21.7
2020-01-02T19:00,19.7,94,18.8,922.8,0,48,10.4,124,21.5
2020-01-02T20:00,19.4,95,18.7,922.1,0,74,11.4,125,21.2
2020-01-02T21:00,19,98,18.6,921.2,0,76,11.9,125,21
2020-01-02T22:00,18.9,98,18.6,920.7,0,77,9.8,126,20.9
2020-01-02T23:00,18.9,98,18.6,921.1,0,81,9.9,123,20.8
2020-01-03T00:00,18.9,97,18.4,921.2,0,80,10.3,126,20.8
2020-01-03T01:00,18.6,98,18.3,921.8,0,83,9.4,130,20.6
2020-01-03T02:00,18.7,96,18.1,922.7,0,83,9.4,140,20.7
2020-01-03T03:00,20,87,17.8,923.4,0,24,9.2,149,21.4
2020-01-03T04:00,22.4,74,17.5,923.6,0,1,8.3,162,23.4
2020-01-03T05:00,24.6,63,17.1,923.7,0,2,7.7,169,25.8
2020-01-03T06:00,26.2,56,16.6,923.9,0,15,8,170,27.7
2020-01-03T07:00,27,52,16.4,922.5,0,28,7.2,174,28.9
2020-01-03T08:00,27.7,49,15.9,921.8,0,22,6.5,180,29.6
2020-01-03T09:00,28,47,15.5,920.5,0,20,6.2,187,29.7
2020-01-03T10:00,28.1,45,15.2,919.9,0,26,6.3,193,29.6
2020-01-03T11:00,27.8,45,14.8,919.9,0,33,5.6,195,28.8
2020-01-03T12:00,26.8,49,15.2,920.1,0,29,4.4,189,27.5
2020-01-03T13:00,25.2,55,15.6,920.5,0,23,5.4,176,26
2020-01-03T14:00,23.9,61,15.8,920.9,0,24,5.4,143,24.9
2020-01-03T15:00,23,64,15.9,921.1,0,30,5.4,127,24.1
2020-01-03T16:00,22,69,16.2,921.5,0,66,6,115,23.4
2020-01-03T17:00,21.2,75,16.6,921.4,0,50,6.6,119,22.8
2020-01-03T18:00,20.3,82,17.1,920.9,0,15,6.9,118,22.2
2020-01-03T19:00,19.9,85,17.2,920.9,0,16,6.8,115,21.7
2020-01-03T20:00,19.2,90,17.6,920.1,0,20,6.4,117,21.3
2020-01-03T21:00,18.8,94,17.9,919.5,0,50,7.6,121,21
2020-01-03T22:00,19.3,94,18.3,919.5,0,74,5.9,137,21
2020-01-03T23:00,19.6,93,18.5,919.5,0,70,7.3,147,21.1
2020-01-04T00:00,19.8,93,18.6,919.8,0,59,6.9,152,21.2
2020-01-04T01:00,19.7,93,18.6,920.4,0,65,5.7,145,21.2
2020-01-04T02:00,20,92,18.7,921,0,23,7.3,147,21.3
2020-01-04T03:00,21.3,84,18.5,922,0,1,8,162,22.3
2020-01-04T04:00,23.1,73,18,921.9,0,1,7.6,180,24
2020-01-04T05:00,25,63,17.4,922.2,0,11,6.6,193,26.1
2020-01-04T06:00,26.4,51,15.3,921.9,0,23,5.8,210,27.8
2020-01-04T07:00,27.2,47,14.8,920.7,0,28,5.9,227,29
2020-01-04T08:00,27.9,43,14.2,920,0,24,6,237,30
2020-01-04T09:00,28.1,41,13.8,919.2,0,31,6.3,246,30.1
2020-01-04T10:00,28,41,13.4,918.2,0,24,7.9,270,29.7
2020-01-04T11:00,27.7,41,13.1,918.1,0,29,7.3,279,28.8
2020-01-04T12:00,26.9,44,13.7,918.7,0,28,3.8,287,27.7
2020-01-04T13:00,25.6,50,14.3,919.2,0,28,7.8,304,26.2
2020-01-04T14:00,24.1,56,14.8,919.4,0,29,6.1,320,25
